Mach\theta_deg,0,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,30,32.5,35,37.5,40,42.5,45,47.5,50,52.5,55,57.5,60,62.5,65,67.5,70,72.5,75
3,0.02824617,0.02824617,0.02824617,0.05452530,0.08748149,0.12703035,0.17310783,0.22558712,0.28426977,0.34889229,0.41913718,0.49464697,0.57504220,0.65994567,0.74901929,0.84202689,0.93895824,1.03029215,1.03029215,1.03029215,1.03029215,1.10505976,1.17809821,1.24885162,1.31678151,1.38137091,1.44212824,1.49859110,1.55032978,1.59695052,1.63809850
3.5,0.02647979,0.02647979,0.02647979,0.05130707,0.08282248,0.12102497,0.16586468,0.21720438,0.27482405,0.33843195,0.40767722,0.48216334,0.56146310,0.64513662,0.73275567,0.82394114,0.91842872,1.01620254,1.11782000,1.11877091,1.11877091,1.11877091,1.19271558,1.26434687,1.33311961,1.39851041,1.46002159,1.51718502,1.56956566,1.61676485,1.65842338
4,0.02509247,0.02509247,0.02509247,0.04886911,0.07939771,0.11671698,0.16077494,0.21141920,0.26840931,0.33143104,0.40011020,0.47402583,0.55272355,0.63573057,0.72257461,0.81281130,0.90606909,1.00213348,1.10113180,1.20231111,1.20231111,1.20231111,1.20231111,1.27451868,1.34384471,1.40976158,1.47176763,1.52939094,1.58219299,1.62977190,1.67176558
4.5,0.02397228,0.02397228,0.02397228,0.04696572,0.07679295,0.11350788,0.15704880,0.20724638,0.26384150,0.32650173,0.39483580,0.46840620,0.54674140,0.62934891,0.71573128,0.80540838,0.89795234,0.99305000,1.09063153,1.19118778,1.20893838,1.20893838,1.20893838,1.28154397,1.35125212,1.41753233,1.47988016,1.53782111,1.59091420,1.63875538,1.68098053
5,0.00746404,0.00746404,0.02304975,0.04544596,0.07476037,0.11104868,0.15423567,0.20413505,0.26047118,0.32289707,0.39100868,0.46435691,0.54245873,0.62480892,0.71089424,0.80021263,0.89230263,0.98679417,1.08350878,1.18269335,1.21370286,1.21370286,1.21370286,1.28659459,1.35657747,1.42311889,1.48571244,1.54388173,1.59718407,1.64521379,1.68760535
5.5,0.00718998,0.00718998,0.02227849,0.04421074,0.07314177,0.10912148,0.15205952,0.20175349,0.25791362,0.32018131,0.38814294,0.46134107,0.53928466,0.62145982,0.70734274,0.79641689,0.88819903,0.98228288,1.07842299,1.17672259,1.27815691,1.29034507,1.29034507,1.29034507,1.36053196,1.42726735,1.49004336,1.54838222,1.60183993,1.65000966,1.69252479
6,-0.00583259,0.00694929,0.02162586,0.04319202,0.07183122,0.10758326,0.15034217,0.19989086,0.25592771,0.31808490,0.38594158,0.45903420,0.53686595,0.61891683,0.70465559,0.79355564,0.88511870,0.97891393,1.07465122,1.17234107,1.27272132,1.29320532,1.29320532,1.29320532,1.36354779,1.43043111,1.49334628,1.55181445,1.60539066,1.65366717,1.69627654
6.5,0.00673629,0.00673629,0.02106802,0.04234146,0.07075519,0.10633644,0.14896392,0.19840748,0.25435566,0.31643339,0.38421428,0.45723022,0.53498019,0.61693970,0.70257208,0.79134345,0.88274470,0.97632741,1.07177008,1.16901933,1.26865563,1.29543586,1.29543586,1.29543586,1.36589966,1.43289834,1.49592202,1.55449104,1.60815966,1.65651943,1.69920230
7,0.00654648,0.00654648,0.02058707,0.04162377,0.06986110,0.10531236,0.14784171,0.19720765,0.25309057,0.31510967,0.38283433,0.45579297,0.53348140,0.61537177,0.70092336,0.78959681,0.88087492,0.97429624,1.06951620,1.16643532,1.26552352,1.29720858,1.29720858,1.29720858,1.36776880,1.43485916,1.49796909,1.55661826,1.61036032,1.65878627,1.70152755
7.5,0.00637631,0.00637631,0.02016927,0.04101261,0.06911042,0.10446145,0.14691641,0.19622396,0.25205785,0.31403274,0.38171468,0.45462946,0.53227046,0.61410725,0.69959598,0.78819309,0.87937517,0.97267080,1.06771793,1.16438253,1.26305340,1.29864055,1.29864055,1.29864055,1.36927866,1.43644309,1.49962267,1.55833659,1.61213797,1.66061738,1.70340584
